work_id,mp_id,mp_name,state,constituency,district,house,year,category,fund_received_cr,sanctioned_amount_cr,final_expenditure_cr,sanction_date,status,completion_date,implementing_agency,sc_st_area,data_source,utilization_pct
REAL-75,MP0074,Shri. Ram Chander Jangra,Haryana,Rohtak,Rohtak,Parliamentary Member,2025,All recommended works,2.0,8.26,0.54,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,27.0
REAL-76,MP0075,Krishan Lal Panwar,Haryana,Panipat,Panipat,Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-77,MP0076,Kartik Sharma,Haryana,Ambala,Ambala,Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-78,MP0077,Shri. Deepender Singh,Haryana,Rohtak,Rohtak,Parliamentary Member,2025,All recommended works,2.0,3.46,0.53,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,26.5
REAL-79,MP0078,Shri. Dushyant Gautam,Haryana,Panipat,Panipat,Parliamentary Member,2025,All recommended works,2.0,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-80,MP0079,Subhash Chandra,Haryana,Hissar,Hissar,Parliamentary Member,2025,All recommended works,17.5,19.7,12.71,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,72.6
REAL-81,MP0080,Devender Paul Vats,Haryana,Hissar,Hissar,Parliamentary Member,2025,All recommended works,12.0,13.64,8.42,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,70.2
REAL-82,MP0081,Indu Bala Goswami,Himachal Pradesh,Kangra,Kangra,Parliamentary Member,2025,All recommended works,4.5,1.9,1.61,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,35.8
REAL-83,MP0082,Anand Sharma,Himachal Pradesh,Shimla,Shimla,Parliamentary Member,2025,All recommended works,17.5,14.12,14.27,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,81.5
REAL-84,MP0083,Jagat Prakash Nadda,Himachal Pradesh,Bilaspur,Bilaspur,Parliamentary Member,2025,All recommended works,14.5,14.24,14.48,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,99.9
