mp_id,mp_name,state,constituency,district,house,entitlement_cr,goi_release_cr,unreleased_cr,tenure,nodal_district,data_source
MP0088,Shamsher Singh Manhas,Jammu and Kashmir,Jammu,Jammu,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0089,Shri. Shibu Soren,Jharkhand,Dumka,Dumka,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0090,Mahua Maji,Jharkhand,Ranchi,Ranchi,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0091,Shri. Deepak Prakash,Jharkhand,Ranchi,Ranchi,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0092,Mahesh Poddar,Jharkhand,Ranchi,Ranchi,Parliamentary Member,22.0,17.5,4.5,08.07.2016 to 07.07.2022,Ranchi,RS_Session_259_AU_2235_1.csv
MP0093,Dhiraj Prasad Sahu,Jharkhand,Lohardaga,Lohardaga,Parliamentary Member,22.0,10.0,12.0,04.05.2018 to 03.05.2024,Lohardaga,RS_Session_259_AU_2235_1.csv
MP0094,Mukhtar Abbas Naqvi,Jharkhand,Ranchi,Ranchi,Parliamentary Member,22.0,15.0,7.0,08.07.2016 to 07.07.2022,Ranchi,RS_Session_259_AU_2235_1.csv
MP0095,Samiroraon,Jharkhand,Gumla,Gumla,Parliamentary Member,22.0,7.5,14.5,04.05.2018 to 03.05.2024,Gumla,RS_Session_259_AU_2235_1.csv
MP0096,Aditya Prasad,Jharkhand,Ranchi,Ranchi,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0097,Shri. Iranna Kadadi,Karnataka,Belagavi,Belagavi,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0098,Oscar Fernandes,Karnataka,Udupi,Udupi,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0099,Jairam Ramesh,Karnataka,Chikmagalur,Chikmagalur,Parliamentary Member,19.5,10.0,9.5,01.07.2016 to 30.06.2022,Chikmagalur,RS_Session_259_AU_2235_1.csv
MP0100,Jaggesh,Karnataka,Tumakuru,Tumakuru,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0101,Shri. Mallikarjun Kharge,Karnataka,Gulbarga,Gulbarga,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0102,L. Hanumanthaiah,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,22.0,7.5,14.5,03.04.2018 to 02.04.2024,Bengaluru Urban,RS_Session_259_AU_2235_1.csv
MP0103,G.c Chandrashekhar,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,22.0,10.0,12.0,03.04.2018 to 02.04.2024,Bengaluru Urban,RS_Session_259_AU_2235_1.csv
MP0104,Lahar Singh Siroya,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0105,Shri. H.D. Devegowda,Karnataka,Hassan,Hassan,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0106,Shri. Ashok Gasti,Karnataka,Raichur,Raichur,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0107,Shri. Narayana Koragappa,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0108,Shri. K.C Ramamurthy,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0109,Sh. Jairam Ramesh,Karnataka,Chikmagalur,Chikmagalur,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0110,Syed Nasir Hussain,Karnataka,Ballari,Ballari,Parliamentary Member,22.0,5.0,17.0,03.04.2018 to 02.04.2024,Ballari,RS_Session_259_AU_2235_1.csv
MP0111,Rajeev Chandrashekhar,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,22.0,7.5,14.5,03.04.2018 to 02.04.2024,Bengaluru Urban,RS_Session_259_AU_2235_1.csv
MP0112,Nirmala Sitharaman,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,19.5,17.5,2.0,01.07.2016 to 30.06.2022,Bengaluru Urban,RS_Session_259_AU_2235_1.csv
MP0113,Shri. Jose K. Mani,Kerala,Kottayam,Kottayam,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0114,Shri. Abdul Wahab,Kerala,Malappuram,Malappuram,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0115,Shri. Binoy Viswam,Kerala,Thiruvananthapuram,Thiruvananthapuram,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0116,Jose K Mani,Kerala,Kottayam,Kottayam,Parliamentary Member,27.0,2.0,25.0,30.11.2021 to 01.07.2024,Kottayam,RS_Session_259_AU_2235_1.csv
MP0117,Shri. K. Somaprasad,Kerala,Kollam,Kollam,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0118,Shri. Sandosh Kumar P,Kerala,Kannur,Kannur,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0119,Jebi Mather Hisham,Kerala,Alappuzha,Alappuzha,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0120,Shri. John Brittas,Kerala,Thiruvananthapuram,Thiruvananthapuram,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0121,Sh. Elamaram Kareem,Kerala,Kozhikode,Kozhikode,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0122,Shri. K.K Ragesh,Kerala,Kannur,Kannur,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0123,M P Veerendra Kumar,Kerala,Wayanad,Wayanad,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0124,Vayalar Ravi,Kerala,Alappuzha,Alappuzha,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0125,Shri. A.A. Rahim,Kerala,Thiruvananthapuram,Thiruvananthapuram,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0126,A.K. Antony,Kerala,Alappuzha,Alappuzha,Parliamentary Member,22.0,17.5,4.5,03.04.2016 to 02.04.2022,Alappuzha,RS_Session_259_AU_2235_1.csv
MP0127,Shri. M.V.shreyams Kumar,Kerala,Wayanad,Wayanad,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0128,V. Sivadasan,Kerala,Kannur,Kannur,Parliamentary Member,27.0,2.0,25.0,24.04.2021 to 23.04.2027,Kannur,RS_Session_259_AU_2235_1.csv
MP0129,Sumer Singh Solanki,Madhya Pradesh,Badwani,Badwani,Parliamentary Member,22.0,2.0,20.0,22.06.2020 to 21.06.2026,Badwani,RS_Session_259_AU_2235_1.csv
MP0130,Shri. M.J. Akbar,Madhya Pradesh,Bhopal,Bhopal,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0131,Vivek K. Tankha,Madhya Pradesh,Jabalpur,Jabalpur,Parliamentary Member,22.0,17.5,4.5,30.06.2016 to 29.06.2022,Jabalpur,RS_Session_259_AU_2235_1.csv
MP0132,Sampatiya Uikey,Madhya Pradesh,Mandla,Mandla,Parliamentary Member,29.5,29.5,0.0,01.08.2017 to 29.06.2022,Mandla,RS_Session_259_AU_2235_1.csv
MP0133,Shri. Jyotiraditya M. Scindia,Madhya Pradesh,Ashok Nagar,Ashok Nagar,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0134,Ajay Pratap Singh,Madhya Pradesh,Singrauli,Singrauli,Parliamentary Member,22.0,12.0,10.0,03.04.2018 to 02.04.2024,Singrauli,RS_Session_259_AU_2235_1.csv
MP0135,Thawar Chand,Madhya Pradesh,Ujjain,Ujjain,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
