S.No,Name of MP (Shri/Smt/Dr./Ms/Prof./Adv.),State,Nodal District,Tenure of MP,Entitlement till his tenure,GOI Release (in Cr),Unreleased Amount (in Cr)
123,Sasmit Patra,Odisha,Mayurbhanj,29.06.2019 to 01.07.2022,9.5,5,4.5
124,Ashwini Vaishnaw,Odisha,Cuttack,29.06.2019 to 03.04.2024,17,2.5,14.5
125,Bhaskar Rao Nekkanti,Odisha,Rayagada,02.07.2016 to 01.07.2022,22,15,7
126,Prasanna Acharya,Odisha,Baragarh,02.07.2016 to 01.07.2022,22,17.5,4.5
127,Prashanta Nanda,Odisha,Sundargarh,04.04.2018 to 03.04.2024,22,10,12
128,Muzibulla Khan,Odisha,Khordha,03.04.2020 to 02.04.2026,22,2,20
129,Sujeet Kumar,Odisha,Kalahandi,03.04.2020 to 02.04.2026,22,2,20
130,Mamta Mohanta,Odisha,Mayurbhanj,03.04.2020 to 02.04.2026,22,2,20
131,Subhash Chandra Singh,Odisha,Balangir,03.04.2020 to 02.04.2026,22,2,20
132,S Selvaganabathy,Puducherry,Puducherry,07.10.2021 to 06.10.2027,29.5,2,27.5
133,Ambika Soni,Punjab,Rupnagar,05.07.2016 to 04.07.2022,22,7.5,14.5
134,Naresh Gujral,Punjab,Jalandhar,10.04.2016 to 09.04.2022,22,15,7
135,Pratap Singh Bajwa,Punjab,Gurdaspur,10.04.2016 to 09.04.2022,22,15,7
136,Balwinder Singh Bhunder,Punjab,Mansa,05.07.2016 to 04.07.2022,22,17.5,4.5
137,Shamsher Singh Dullo,Punjab,Fatehgarh Sahib,10.04.2016 to 09.04.2022,22,20,2
138,Shwait Malik,Punjab,Amritsar,10.04.2016 to 09.04.2022,22,15,7
139,Sukhdev Singh Dhindsa,Punjab,Sangrur,10.04.2016 to 09.04.2022,49,47,2
140,Manmohan Singh,Rajasthan,Jaipur,20.08.2019 to 03.04.2024,14.5,2.5,12
141,Bhupender Yadav,Rajasthan,Ajmer,04.04.2018 to 03.04.2024,22,7.5,14.5
142,Harshvardhan Singh Dungarpur,Rajasthan,Dungarpur,05.07.2016 to 04.07.2022,22,12.5,9.5
143,K.C Venugopal,Rajasthan,Jaipur,22.06.2020 to 21.06.2026,22,2,20
144,K.J. Alphons,Rajasthan,Jaipur,10.11.2017 to 04.07.2022,17,10,7
145,Kirodi Lal,Rajasthan,Dausa,04.04.2018 to 03.04.2024,22,12,10
146,Neeraj Dangi,Rajasthan,Sirohi,22.06.2020 to 21.06.2026,22,2,20
