Sl. No.,State/UT,MP Name,District,Fund Received Goi (Rs. Crore),Works Recommended Cost (Rs. Crore),Actual Expenditure Incurred with Exp_Admin (Rs. Crore)
185,Odisha,Shri Manas Ranjan Mangaraj,Ganjam,2.5,0,0
186,Odisha,Shri. Subhash Chandra Singh,Bolangir,2,0,0
187,Odisha,Dr Sasmit Patra,Sundargarh,2.5,0,0
188,Odisha,Shri. Muzibulla Khan,Khordha,4.5,12.09,1.71
189,Odisha,Smt. Sulata Deo,Khordha,2.5,0,0
190,Odisha,Smt Mamata Mohanta,Mayurbhanj,4.5,2.81,1
191,Odisha,Shri. Sujeet Kumar,Kalahandi,4.5,7.22,2.15
192,Odisha,Shri. Ashwini Vaishnaw,Cuttack,2.5,0.73,0.63
193,Odisha,Shri. Sasmit Patra,Mayurbhanj,9.5,8.41,5.8
194,Puducherry,Shri. S. Selvaganabathy,Pondicherry,2,4.45,0.51
195,Puducherry,N Gokulakrishnan,Pondicherry,22.5,31.3,22.98
196,Punjab,Smt Ambika Soni,Rupnagar,10,11.86,9.38
197,Punjab,Shri. Ashok,Kapurthala,2.5,0,0
198,Punjab,Shri. Raghav Chadha,Sahibzada Ajit Singh Nagar,2.5,0,0.05
199,Punjab,Shri. Shamsher Singh Dullo,Fatehgarh Sahib,22,31.7,18.64
200,Punjab,Shri. Sandeep Kumar Pathak,Firozepur,2.5,0,0
201,Punjab,Shri Sukhdev Singh Dhindsa,Sangrur,49,54.26,45.84
202,Punjab,Shri. Shwait Malik,Amritsar,15,16.65,13.82
203,Punjab,Sardar Balwinder Singh Bhunder,Mansa,22,26.17,21.28
204,Punjab,Shri Vikramjit Singh Sahney,Sahibzada Ajit Singh Nagar,2.5,2.24,0.05
205,Punjab,Shri. Sanjeev Arora,Ludhiana,2.5,0,0
206,Punjab,Shri Sant Balbir Singh,Jalandhar,2.5,3.79,0.34
207,Punjab,Sh. Naresh Gujral,Jalandhar,15,24.19,18.05
208,Punjab,Shri. Harbhajan Singh,Jalandhar,2.5,1.91,0.23
209,Punjab,Pratap Singh Bajwa,Gurdaspur,17.5,21.43,14.3
210,Rajasthan,Shri Mukul Balkrishna Wasnik,Jaipur,2.5,0,0
211,Rajasthan,Shri. Neeraj Dangi,Sirohi,4.5,3.28,1.8
212,Rajasthan,Shri. Harshvardhan Singh Dungarpur,Dungarpur,17.5,26.65,15
213,Rajasthan,Shri. Ram Kumar Verma,Dausa,22,19.12,19.51
214,Rajasthan,Shri. K.J. Alphons,Jaipur,14.5,17.62,12.68
215,Rajasthan,Shri Randeep Singh Surjewala,Jaipur,2.5,0,0
216,Rajasthan,Shri Pramod Tiwari,Jaipur,0,0,0
217,Rajasthan,Shri. Om Prakash Mathur,Jaipur,19.5,25.99,18
